src_gpu,dst_gpu,num_bytes,peer_access,warmup_iterations,measured_iterations,bandwidth_gbps_n,bandwidth_gbps_mean,bandwidth_gbps_std,bandwidth_gbps_ci95_halfwidth,bandwidth_gbps_min,bandwidth_gbps_max,bandwidth_gbps_p50,bandwidth_gbps_p95,latency_us_n,latency_us_mean,latency_us_std,latency_us_ci95_halfwidth,latency_us_min,latency_us_max,latency_us_p50,latency_us_p95
0,1,1048576,0,5,50,5,17.33297715789372,0.2181583649101759,0.2708359616454036,16.956658928811095,17.514277599760614,17.386951704006165,17.49990281153095,5,56.348544120788574,0.7192675792309979,0.8929454828908205,55.75808048248291,57.591681480407715,56.16640090942383,57.321088790893555
0,1,4194304,0,5,50,5,31.067145974677835,0.16326204137168393,0.20268410057665034,30.91593048233003,31.247201216565845,30.995372185104117,31.245569721359438,5,125.73849487304688,0.6597902418823028,0.819106453781969,125.0111961364746,126.35071754455565,126.02687835693361,126.3325424194336
0,1,16777216,0,5,50,5,37.9869041819092,0.10571758814111007,0.13124467933567066,37.90679703297873,38.16217807649952,37.94072983662329,38.13142682074333,5,411.32850646972656,1.1417528321128536,1.4174461124787425,409.4367980957031,412.19520568847656,411.82655334472656,412.1743392944336
0,1,67108864,0,5,50,5,39.543148050134704,0.04145092921251385,0.051459875393680535,39.50244662492292,39.603853176449476,39.52658804774264,39.59636945412666,5,1580.5533447265625,1.6559239764738036,2.055771561932182,1578.1292724609375,1582.1804809570312,1581.2141418457031,1582.068603515625
0,1,268435456,0,5,10,5,39.948588701389056,0.12887359948413143,0.15999205559392815,39.83323237660882,40.0996568498298,39.867605192205644,40.09528792134721,5,6258.095397949219,20.16614814134878,25.03556591467241,6234.467315673828,6276.166534423828,6270.755386352539,6275.177688598633
0,1,1073741824,0,5,10,5,40.349735666260024,0.05821124151034801,0.07226721551346095,40.25311257426382,40.39948990219263,40.36558646511139,40.397136149131256,5,24783.351135253906,35.80134024615479,44.446108760275834,24752.78778076172,24842.799377441406,24773.577880859375,24831.75750732422
0,2,1048576,0,5,50,5,17.021261631323302,0.12613094583818482,0.1565871472468837,16.86706324580442,17.19145225548412,17.03807535637905,17.16832737404875,5,57.3756160736084,0.4248878363576329,0.5274833527411846,56.80511951446533,57.89760112762451,57.31647968292236,57.85190486907959
0,2,4194304,0,5,50,5,31.27006697787877,0.10718465108045318,0.13306598654126378,31.14165804999696,31.392003117127814,31.24896052957223,31.386969676058285,5,124.92095756530762,0.42811728696236245,0.5314926024459959,124.43455696105957,125.43487548828125,125.00415802001952,125.3872604370117
0,2,16777216,0,5,50,5,37.87666944561251,0.1627740343378509,0.2020782569531326,37.726673200061896,38.06032468541924,37.81959682980184,38.056339618314496,5,412.52915954589844,1.7709601091302245,2.1985848875857643,410.5324935913086,414.1632080078125,413.1455993652344,414.14196014404297
0,2,67108864,0,5,50,5,39.43473933825587,0.0454635325585628,0.056441381770372494,39.39156193505662,39.510372340887315,39.42411531553729,39.495639065591256,5,1584.898681640625,1.825310945930017,2.266059545992583,1581.8630981445312,1586.6342163085938,1585.3240966796875,1586.4781799316406
0,2,268435456,0,5,10,5,39.867899687193294,0.07282806696455338,0.09041349186515023,39.801352769854944,39.984154228917944,39.87047449490565,39.9618374513935,5,6270.725784301758,11.440216742264445,14.202628004196749,6252.47688293457,6281.193542480469,6270.304107666016,6280.890808105469
0,2,1073741824,0,5,10,5,40.31328028624358,0.019412503931783627,0.02409994305042831,40.294711644966306,40.338169469675805,40.302356226682065,40.336526646731855,5,24805.726013183594,11.942897584569879,14.826688646485524,24790.415954589844,24817.152404785156,24812.445068359375,24816.35223388672
0,3,1048576,0,5,50,5,17.370447500251206,0.1318831521974276,0.16372830977590144,17.276903546961794,17.600947838542588,17.320441444602626,17.551464989252906,5,56.22233581542969,0.42303428881669247,0.5251822384524304,55.48351764678955,56.52416229248047,56.382079124450684,56.50880146026611
0,3,4194304,0,5,50,5,31.23251575612755,0.06891425551340284,0.08555463216244026,31.139273975967566,31.32964353351874,31.23185020423845,31.31405101509416,5,125.07046318054199,0.2759216907431361,0.342547105548815,124.68223571777344,125.44447898864746,125.07264137268068,125.38751983642578
