collective,gpu_count,num_bytes,reported_size,time_value_n,time_value_mean,time_value_std,time_value_ci95_halfwidth,time_value_min,time_value_max,time_value_p50,time_value_p95,algbw_gbps_n,algbw_gbps_mean,algbw_gbps_std,algbw_gbps_ci95_halfwidth,algbw_gbps_min,algbw_gbps_max,algbw_gbps_p50,algbw_gbps_p95,busbw_gbps_n,busbw_gbps_mean,busbw_gbps_std,busbw_gbps_ci95_halfwidth,busbw_gbps_min,busbw_gbps_max,busbw_gbps_p50,busbw_gbps_p95
all_reduce,8,16777216,16777216,5,1045.688,188.54133464574824,234.0674569123855,905.81,1376.64,985.98,1301.5620000000001,5,16.398,2.44655267672699,3.0373093747302065,12.19,18.52,17.02,18.316,5,28.692,4.281293028980848,5.315075198089298,21.33,32.41,29.78,32.05199999999999
all_reduce,8,67108864,67108864,5,5229.874,460.4420494807138,571.6226618421674,4721.28,5765.89,5298.06,5725.654,5,12.912,1.143227886293892,1.4192773405307364,11.64,14.21,12.67,14.164000000000001,5,22.596,2.0035917747884664,2.4873889446920026,20.37,24.87,22.17,24.79
all_reduce,8,268435456,268435456,5,22634.62,5389.283846393693,6690.606952976812,19423.7,32047.5,19784.8,30095.239999999998,5,12.296,2.304024739450512,2.8603659374730355,8.38,13.82,13.57,13.79,5,21.518,4.033152613031151,5.007017571215822,14.66,24.18,23.74,24.13
all_reduce,8,1073741824,1073741824,5,83638.36,4030.836795629412,5004.142565101556,77261.3,88171.2,84169.4,87625.42,5,12.864,0.6404139286430303,0.7950514402074876,12.18,13.9,12.76,13.702,5,22.508,1.1214588712922118,1.3922518716036987,21.31,24.32,22.32,23.976
all_to_all,2,1048576,1048576,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,30.758,0.06610597552415315,0.08206825101097195,30.68,30.83,30.77,30.826,5,34.089999999999996,0.07382411530116699,0.09165005095470484,34.01,34.18,34.08,34.174
all_to_all,2,4194304,4194304,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,90.306,0.0782943165242523,0.09719964905286284,90.22,90.41,90.29,90.39999999999999,5,46.446,0.04159326868617034,0.05163658485996082,46.39,46.49,46.45,46.488
all_to_all,2,16777216,16777216,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,319.526,1.5027408292849396,1.865600055128639,317.0,320.71,319.96,320.678,5,52.51,0.2502998202156756,0.31073845156336743,52.31,52.93,52.44,52.849999999999994
all_to_all,2,67108864,67108864,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1234.946,6.011815865443683,7.46345862934448,1226.12,1241.51,1237.27,1240.7939999999999,5,54.342,0.26583829671437376,0.33002892537472994,54.05,54.73,54.24,54.67999999999999
all_to_all,2,268435456,268435456,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4863.82,17.846489850948153,22.15579147178978,4850.16,4892.94,4854.16,4888.144,5,55.19,0.2028546277510082,0.25183690849436696,54.86,55.35,55.3,55.342000000000006
all_to_all,2,1073741824,1073741824,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,19623.239999999998,51.779851293722,64.28287003693552,19569.2,19704.3,19614.0,19690.76,5,54.716,0.14467204291085228,0.17960526923227838,54.49,54.87,54.74,54.855999999999995
all_to_all,4,1048576,1048576,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,39.95,0.10173494974687973,0.1263003733961235,39.82,40.09,39.97,40.068000000000005,5,26.25,0.06442049363362494,0.07997578433500895,26.16,26.33,26.24,26.321999999999996
all_to_all,4,4194304,4194304,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,121.732,0.3282834141408904,0.4075523494031153,121.28,122.11,121.82,122.072,5,34.454,0.09126883367283602,0.11330705722063254,34.35,34.58,34.43,34.565999999999995
all_to_all,4,16777216,16777216,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,422.528,1.5331405675932077,1.903340264457208,420.31,424.29,423.07,424.076,5,39.708,0.14601369798755306,0.1812708869730618,39.54,39.92,39.66,39.892
all_to_all,4,67108864,67108864,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1501.222,5.293507343907239,6.571703782957947,1497.19,1507.7,1497.72,1507.4160000000002,5,44.702,0.15770225109363709,0.19578181586654275,44.51,44.82,44.81,44.82
all_to_all,4,268435456,268435456,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5927.586,34.21744701172214,42.47976083926974,5880.03,5961.83,5945.35,5958.834,5,45.288,0.2606146580681899,0.32354396113047645,45.03,45.65,45.15,45.614
all_to_all,4,1073741824,1073741824,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23607.7,110.91075240931286,137.6918107080586,23454.3,23725.1,23576.4,23721.5,5,45.482,0.21311968468445242,0.2645806167957143,45.26,45.78,45.54,45.732
all_to_all,8,1048576,1048576,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,68.7,9.466551642493691,11.752391977343164,58.11,83.75,67.09,80.968,5,15.48,2.0048067238514538,2.488897261358933,12.52,18.04,15.63,17.672
all_to_all,8,4194304,4194304,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,199.426,18.925523242436388,23.495373597607163,178.61,217.99,207.64,217.056,5,21.188,2.0661848900812343,2.565096102882697,19.24,23.48,20.2,23.456
all_to_all,8,16777216,16777216,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,874.86,40.63122198506958,50.44223760883573,825.56,919.01,868.63,917.83,5,19.208000000000002,0.8909377082602348,1.1060679295160847,18.26,20.32,19.31,20.212
all_to_all,8,67108864,67108864,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5320.3060000000005,431.57693170511317,535.7876301028092,4945.14,5960.16,5126.0,5880.764,5,12.676,0.9847994719738634,1.2225940184771067,11.26,13.57,13.09,13.536000000000001
all_to_all,8,268435456,268435456,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,21135.6,920.8467380623119,1143.1989414379143,19887.6,22077.6,21416.7,22023.42,5,12.72,0.563604471238474,0.6996951916942118,12.16,13.5,12.53,13.42
all_to_all,8,1073741824,1073741824,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,79833.90000000001,7797.040084865542,9679.751909773404,68019.7,89781.1,80278.6,88196.34000000001,5,13.56,1.392749080057136,1.7290491546511908,11.96,15.79,13.38,15.341999999999999
reduce_scatter,2,1048576,1048576,5,35.364000000000004,0.06580273550544913,0.08169178915901001,35.31,35.45,35.32,35.444,5,29.652,0.05718391382198368,0.07099182420532724,29.58,29.7,29.69,29.698,5,14.824,0.027018512172212576,0.03354253562269851,14.79,14.85,14.84,14.847999999999999
reduce_scatter,2,4194304,4194304,5,95.166,0.20119642143934724,0.24977830349331603,94.92,95.41,95.24,95.38,5,44.074,0.09396807968666676,0.11665807651422862,43.96,44.19,44.04,44.181999999999995,5,22.034,0.04505552130427495,0.05593485010259666,21.98,22.09,22.02,22.086000000000002
reduce_scatter,2,16777216,16777216,5,335.172,0.30613722413322764,0.3800586309294883,334.85,335.6,335.19,335.54200000000003,5,50.054,0.04722287581247031,0.05862554473947333,49.99,50.1,50.05,50.1,5,25.03,0.021213203435596812,0.02633544835388274,25.0,25.05,25.03,25.05
reduce_scatter,2,67108864,67108864,5,1307.728,0.4873602363755545,0.6050406471503017,1307.21,1308.39,1307.74,1308.31,5,51.318,0.019235384061672134,0.02388005494131131,51.29,51.34,51.32,51.33800000000001,5,25.66,0.010000000000001563,0.012414649411080772,25.65,25.67,25.66,25.67
reduce_scatter,2,268435456,268435456,5,5201.566,2.5728058613118385,3.1940482770955176,5198.99,5205.06,5202.25,5204.544000000001,5,51.606,0.025099800796023218,0.03116052271705456,51.57,51.63,51.6,51.63,5,25.806,0.013416407864998982,0.016656000000000303,25.79,25.82,25.8,25.82
reduce_scatter,2,1073741824,1073741824,5,20761.58,14.218895878372376,17.652260734262683,20754.7,20787.0,20755.3,20780.8,5,51.714,0.035777087639995875,0.044415999999999047,51.65,51.73,51.73,51.73,5,25.862000000000002,0.017888543819999526,0.022208000000001497,25.83,25.87,25.87,25.870000000000005
reduce_scatter,4,1048576,1048576,5,44.068,0.20129580224137847,0.249901681274857,43.88,44.34,43.98,44.316,5,23.794,0.10830512453249858,0.1344570150494203,23.65,23.9,23.84,23.894,5,17.846,0.08111719916269358,0.10070415888134981,17.74,17.92,17.88,17.918000000000003
reduce_scatter,4,4194304,4194304,5,112.538,0.19626512680555266,0.24365627409118662,112.34,112.86,112.5,112.798,5,37.27,0.06708203932499571,0.08328000000000249,37.16,37.34,37.28,37.332,5,27.952,0.0496990945591564,0.061699683499998215,27.87,28.0,27.96,27.996000000000002
reduce_scatter,4,16777216,16777216,5,381.622,0.5145580628073052,0.6388057951396576,381.07,382.36,381.47,382.27,5,43.964,0.05941380311005103,0.07376015357901487,43.88,44.03,43.98,44.024,5,32.974000000000004,0.04393176527297945,0.05453974638738478,32.91,33.02,32.99,33.016000000000005
reduce_scatter,4,67108864,67108864,5,1486.118,34.72753475270024,43.11301688658296,1468.97,1548.15,1470.5,1533.26,5,45.176,1.022267088387374,1.2691087506813583,43.35,45.68,45.64,45.678,5,33.882,0.7682903097137175,0.9538054841024974,32.51,34.26,34.23,34.26
reduce_scatter,4,268435456,268435456,5,5844.588,2.4523091159151433,3.044455792167918,5843.1,5848.89,5843.33,5847.978,5,45.93,0.017320508075688405,0.021502803538143118,45.9,45.94,45.94,45.94,5,34.446000000000005,0.01516575088810313,0.01882774803315578,34.42,34.46,34.45,34.458
reduce_scatter,4,1073741824,1073741824,5,23338.38,3.553449028760933,4.411482389220556,23334.8,23343.3,23338.7,23342.64,5,46.006,0.005477225575050571,0.006799783525964748,46.0,46.01,46.01,46.01,5,34.506,0.005477225575050571,0.006799783525964748,34.5,34.51,34.51,34.51
reduce_scatter,8,1048576,1048576,5,80.976,0.6334666526345304,0.7864266406067351,80.14,81.63,80.97,81.614,5,12.95,0.10416333327999837,0.12931512641605397,12.84,13.09,12.95,13.074,5,11.33,0.08860022573334657,0.10999407402219424,11.24,11.45,11.33,11.435999999999998
reduce_scatter,8,4194304,4194304,5,159.098,21.240559550068355,26.369410010924096,149.16,197.09,149.59,187.684,5,26.686,3.0226445374869995,3.7525072227213627,21.28,28.12,28.04,28.104,5,23.348000000000003,2.643495791560864,3.281807347189045,18.62,24.6,24.53,24.586000000000002
reduce_scatter,8,16777216,16777216,5,533.598,133.5878406517599,165.84462072746638,471.88,772.54,474.21,713.4339999999999,5,32.668,6.121958020110887,7.600196252901895,21.72,35.55,35.38,35.544,5,28.584,5.359284467165369,6.653363775409847,19.0,31.11,30.96,31.104
reduce_scatter,8,67108864,67108864,5,2745.4320000000002,113.49671083339825,140.9021874307232,2625.13,2878.26,2786.52,2864.38,5,24.476,1.0151994877855288,1.2603345723164145,23.32,25.56,24.08,25.554,5,21.418,0.8904886299105683,1.1055104144891632,20.4,22.37,21.07,22.364
reduce_scatter,8,268435456,268435456,5,13765.72,3385.130386262839,4202.5206956243,10818.6,18633.8,11975.6,18099.64,5,20.386,4.517989597154911,5.60892568915795,14.41,24.81,22.42,24.541999999999998,5,17.836,3.9544127250452754,4.9092647608145965,12.61,21.71,19.61,21.476000000000003
reduce_scatter,8,1073741824,1073741824,5,44702.88,3100.1340740361543,3848.707765649836,41522.6,49261.1,45284.9,48478.799999999996,5,24.112000000000002,1.635808668518418,2.0307991123259823,21.8,25.86,23.71,25.79,5,21.098,1.4332724793283373,1.7793575341409038,19.07,22.63,20.75,22.567999999999998
